,actor_name,title,film_id
0,PENELOPE GUINESS,ACADEMY DINOSAUR,1
1,PENELOPE GUINESS,ANACONDA CONFESSIONS,23
2,PENELOPE GUINESS,ANGELS LIFE,25
3,PENELOPE GUINESS,BULWORTH COMMANDMENTS,106
4,PENELOPE GUINESS,CHEAPER CLYDE,140
5,PENELOPE GUINESS,COLOR PHILADELPHIA,166
6,PENELOPE GUINESS,ELEPHANT TROJAN,277
7,PENELOPE GUINESS,GLEAMING JAWBREAKER,361
8,PENELOPE GUINESS,HUMAN GRAFFITI,438
9,PENELOPE GUINESS,KING EVOLUTION,499
10,PENELOPE GUINESS,LADY STAGE,506
11,PENELOPE GUINESS,LANGUAGE COWBOY,509
12,PENELOPE GUINESS,MULHOLLAND BEAST,605
13,PENELOPE GUINESS,OKLAHOMA JUMANJI,635
14,PENELOPE GUINESS,RULES HUMAN,749
15,PENELOPE GUINESS,SPLASH GUMP,832
16,PENELOPE GUINESS,VERTIGO NORTHWEST,939
17,PENELOPE GUINESS,WESTWARD SEABISCUIT,970
18,PENELOPE GUINESS,WIZARD COLDBLOODED,980
19,NICK WAHLBERG,ADAPTATION HOLES,3
20,NICK WAHLBERG,APACHE DIVINE,31
21,NICK WAHLBERG,BABY HALL,47
22,NICK WAHLBERG,BULL SHAWSHANK,105
23,NICK WAHLBERG,CHAINSAW UPTOWN,132
24,NICK WAHLBERG,CHISUM BEHAVIOR,145
25,NICK WAHLBERG,DESTINY SATURDAY,226
26,NICK WAHLBERG,DRACULA CRYSTAL,249
27,NICK WAHLBERG,FIGHT JAWBREAKER,314
28,NICK WAHLBERG,FLASH WARS,321
29,NICK WAHLBERG,GILBERT PELICAN,357
30,NICK WAHLBERG,GOODFELLAS SALUTE,369
31,NICK WAHLBERG,HAPPINESS UNITED,399
32,NICK WAHLBERG,INDIAN LOVE,458
33,NICK WAHLBERG,JEKYLL FROGMEN,481
34,NICK WAHLBERG,JERSEY SASSY,485
35,NICK WAHLBERG,LIAISONS SWEET,518
36,NICK WAHLBERG,LUCKY FLYING,540
37,NICK WAHLBERG,MAGUIRE APACHE,550
38,NICK WAHLBERG,MALLRATS UNITED,555
39,NICK WAHLBERG,MASK PEACH,561
40,NICK WAHLBERG,ROOF CHAMPION,742
41,NICK WAHLBERG,RUSHMORE MERMAID,754
42,NICK WAHLBERG,SMILE EARRING,811
43,NICK WAHLBERG,WARDROBE PHANTOM,958
44,ED CHASE,ALONE TRIP,17
45,ED CHASE,ARMY FLINTSTONES,40
46,ED CHASE,ARTIST COLDBLOODED,42
47,ED CHASE,BOONDOCK BALLROOM,87
48,ED CHASE,CADDYSHACK JEDI,111
49,ED CHASE,COWBOY DOOM,185
50,ED CHASE,EVE RESURRECTION,289
51,ED CHASE,FORREST SONS,329
52,ED CHASE,FRENCH HOLIDAY,336
53,ED CHASE,FROST HEAD,341
54,ED CHASE,HALLOWEEN NUTS,393
55,ED CHASE,HUNTER ALTER,441
56,ED CHASE,IMAGE PRINCESS,453
57,ED CHASE,JEEPERS WEDDING,480
58,ED CHASE,LUCK OPUS,539
59,ED CHASE,NECKLACE OUTBREAK,618
60,ED CHASE,PLATOON INSTINCT,685
61,ED CHASE,SPICE SORORITY,827
62,ED CHASE,WEDDING APOLLO,966
63,ED CHASE,WEEKEND PERSONAL,967
64,ED CHASE,WHALE BIKINI,971
65,ED CHASE,YOUNG LANGUAGE,996
66,JENNIFER DAVIS,ANACONDA CONFESSIONS,23
67,JENNIFER DAVIS,ANGELS LIFE,25
68,JENNIFER DAVIS,BAREFOOT MANCHURIAN,56
69,JENNIFER DAVIS,BED HIGHBALL,62
70,JENNIFER DAVIS,BLADE POLISH,79
71,JENNIFER DAVIS,BOONDOCK BALLROOM,87
72,JENNIFER DAVIS,GHOSTBUSTERS ELF,355
73,JENNIFER DAVIS,GREEDY ROOTS,379
74,JENNIFER DAVIS,HANOVER GALAXY,398
75,JENNIFER DAVIS,INSTINCT AIRPORT,463
76,JENNIFER DAVIS,JUMANJI BLADE,490
77,JENNIFER DAVIS,NATIONAL STORY,616
78,JENNIFER DAVIS,OKLAHOMA JUMANJI,635
79,JENNIFER DAVIS,POSEIDON FOREVER,691
80,JENNIFER DAVIS,RAIDERS ANTITRUST,712
81,JENNIFER DAVIS,RANDOM GO,714
82,JENNIFER DAVIS,REDS POCUS,721
83,JENNIFER DAVIS,SILVERADO GOLDFINGER,798
84,JENNIFER DAVIS,SPLASH GUMP,832
85,JENNIFER DAVIS,SUBMARINE BED,858
86,JENNIFER DAVIS,TREASURE COMMAND,909
87,JENNIFER DAVIS,UNFORGIVEN ZOOLANDER,924
88,JOHNNY LOLLOBRIGIDA,AMADEUS HOLY,19
89,JOHNNY LOLLOBRIGIDA,BANGER PINOCCHIO,54
90,JOHNNY LOLLOBRIGIDA,BONNIE HOLOCAUST,85
91,JOHNNY LOLLOBRIGIDA,CHITTY LOCK,146
92,JOHNNY LOLLOBRIGIDA,COMMANDMENTS EXPRESS,171
93,JOHNNY LOLLOBRIGIDA,CONEHEADS SMOOCHY,172
94,JOHNNY LOLLOBRIGIDA,DADDY PITTSBURGH,202
95,JOHNNY LOLLOBRIGIDA,DAISY MENAGERIE,203
96,JOHNNY LOLLOBRIGIDA,ENOUGH RAGING,286
97,JOHNNY LOLLOBRIGIDA,ESCAPE METROPOLIS,288
98,JOHNNY LOLLOBRIGIDA,FIRE WOLVES,316
99,JOHNNY LOLLOBRIGIDA,FRONTIER CABIN,340
100,JOHNNY LOLLOBRIGIDA,GOODFELLAS SALUTE,369
101,JOHNNY LOLLOBRIGIDA,GRAIL FRANKENSTEIN,375
102,JOHNNY LOLLOBRIGIDA,GROOVE FICTION,383
103,JOHNNY LOLLOBRIGIDA,HALL CASSIDY,392
104,JOHNNY LOLLOBRIGIDA,HEAVENLY GUN,411
